股票代號,股票,淨賣超,收盤價,漲跌%,成交量,當日,累計15日
6235,華孚,-128,164,71.1,(0.57%),"2,515"
1227,佳格,-127,"2,219",32.35,(-2.27%),725
3526,凡甲,-126,-387,247.5,(-0.8%),419
9802,鈺齊-KY,-126,-531,103.5,(-0.96%),"1,368"
3257,虹冠電,-125,-324,71.5,(0.7%),"1,781"
3479,安勤,-125,151,113.5,(-2.58%),555
6548,長科*,-125,"-5,174",37.25,(-2.49%),"3,777"
6768,志強-KY,-124,"1,448",117,(-2.09%),"1,087"
1305,華夏,-123,-292,11.3,(-1.74%),531
6469,大樹,-123,"-1,073",114,(-1.72%),370
6026,福邦證,-123,383,11.55,(-0.43%),493
3036,文曄,-122,"-1,012",133.5,(1.14%),"3,334"
3047,訊舟,-122,"-1,325",17.85,(-0.28%),"1,049"
3289,宜特,-122,"-1,021",118,(-0.42%),707
6667,信紘科,-121,"-1,532",260.5,(-0.76%),484
6649,台生材,-121,-569,69.6,(-5.05%),532
1476,儒鴻,-120,319,425,(-2.07%),519
5534,長虹,-120,"-1,387",77.1,(-1.03%),538
5245,智晶,-120,-142,24.05,(0.63%),469
6753,龍德造船,-119,"-1,149",130.5,(-3.33%),"1,642"
8155,博智,-119,-189,160.5,(0.31%),"1,360"
2905,三商,-118,-818,12.55,(-2.33%),"1,019"
3708,上緯投控,-117,"-2,511",112,(0.45%),887
2348,海悅,-115,-622,85.3,(-1.16%),585
1708,東鹼,-114,"-1,116",30.3,(-0.33%),653
3056,富華新,-114,"-2,060",19.95,(0.25%),871
3008,大立光,-112,-889,2210,(0%),435
6269,台郡,-111,"-1,292",61.8,(-0.48%),"1,387"
6151,晉倫,-111,-469,27.65,(-1.95%),261
6265,方土昶,-110,168,13.2,(-2.58%),"3,463"
2540,愛山林,-109,"-5,934",50.5,(0%),788
6209,今國光,-107,"4,430",40.2,(1.64%),"2,711"
1723,中碳,-106,301,84.4,(-0.94%),334
1714,和桐,-106,977,8.23,(-0.36%),"1,388"
2308,台達電,-106,"-5,029",1015,(1.6%),"11,884"
1786,科妍,-106,-445,94.1,(-2.28%),504
2727,王品,-105,-911,223,(-0.67%),326
6472,保瑞,-104,"-1,466",641,(-0.77%),553
2236,百達-KY,-103,-420,89.3,(5.06%),"1,607"
6657,華安,-103,-212,49.3,(-2.38%),366
1529,樂事綠能,-102,"-1,085",21.15,(-0.24%),641
2734,易飛網,-102,-270,20.15,(-3.13%),618
3609,三一東林,-102,-371,51,(-1.92%),435
4306,炎洲,-102,"-3,339",13.6,(-1.45%),975
6727,亞泰金屬,-101,-122,182,(-3.96%),563
6994,富威電力,-101,29,93.4,(-2.91%),247
1447,力鵬,-100,-260,5.66,(0.18%),568
2465,麗臺,-100,44,71.7,(-4.78%),"1,109"
4114,健喬,-100,"-1,302",33.95,(-0.59%),519
1473,台南,-99,328,31.15,(-2.66%),644
912000,晨訊科-DR,-98,828,2.95,(-0.67%),760
6560,欣普羅,-97,-298,42.8,(-5.2%),341
8215,明基材,-97,"-1,665",22.6,(0.22%),630
4755,三福化,-96,-360,116.5,(-2.1%),470
5269,祥碩,-96,-845,1435,(-0.35%),418
6170,統振,-96,-879,49.9,(0.6%),556
6443,元晶,-96,-342,14,(-0.36%),"2,198"
6223,旺矽,-93,723,1825,(-1.35%),999
3623,富晶通,-91,-21,22.6,(-2.59%),434
4958,臻鼎-KY,-91,"-3,350",150,(1.35%),"4,568"
1810,和成,-90,"-2,835",18.8,(-1.31%),"1,115"
3005,神基,-90,283,139,(0%),"1,634"
3592,瑞鼎,-88,-899,249,(-1.39%),625
1309,台達化,-87,96,11.15,(-2.19%),489
