股票代號,股票,淨買超,收盤價,漲跌%,成交量,當日,累計15日
2388,威盛,92,"-4,516",54.6,(0.55%),"1,679"
3042,晶技,91,-225,91.7,(0.55%),958
4441,振大環球,91,211,277.5,(5.51%),490
3380,明泰,90,"-4,151",32.45,(-0.15%),"1,998"
8404,百和興業-KY,89,"-1,216",25.55,(0.79%),628
1522,堤維西,88,-61,43.2,(0.12%),"1,083"
3374,精材,88,294,145.5,(1.39%),"1,079"
4903,聯光通,87,156,31.8,(6.89%),"2,220"
2468,華經,86,-160,45.75,(0.77%),443
2537,聯上發,86,486,11.15,(0%),751
2535,達欣工,86,-366,61.5,(0%),287
4510,高鋒,86,-489,40.45,(0.75%),632
8271,宇瞻,85,"5,375",108,(-4.85%),"6,053"
2359,所羅門,83,"-1,426",131.5,(1.15%),787
1528,恩德,82,-661,14.8,(0.34%),987
4967,十銓,82,"10,570",128,(0%),"2,993"
9136,巨騰-DR,82,"1,981",7.58,(1.74%),"1,204"
8038,長園科,82,"-1,030",45.9,(-1.08%),550
7799,禾榮科,82,44,745,(9.4%),"1,320"
3504,揚明光,81,-38,58.1,(2.47%),591
6245,立端,81,-584,79.9,(0.63%),334
8936,國統,81,"1,964",56.3,(1.26%),"2,299"
5225,東科-KY,80,-72,109,(1.87%),352
5410,國眾,79,"-1,793",37.55,(-1.05%),940
6477,安集,79,-409,39.15,(0.38%),423
1471,首利,78,-339,9.27,(2.66%),355
3705,永信,77,"1,042",57.7,(1.41%),484
4939,亞電,77,"-1,971",22.8,(2.47%),438
2633,台灣高鐵,75,"-4,662",27.3,(-0.18%),"2,592"
7402,邑錡,74,"-2,125",138,(4.15%),205
5493,三聯,73,-82,87.2,(5.19%),441
3086,華義,71,441,199,(5.85%),279
1464,得力,70,-491,11.25,(0.9%),489
2466,冠西電,70,-591,54.7,(1.3%),"1,108"
2412,中華電,65,"-16,140",133,(0%),"3,676"
3532,台勝科,65,"-4,243",102,(1.49%),"2,187"
8074,鉅橡,65,-781,28,(3.51%),599
1712,興農,64,489,44.1,(0%),440
6197,佳必琪,64,"-1,550",166,(0.91%),"1,781"
8234,新漢,64,-154,78.5,(-0.38%),614
3028,增你強,63,737,33.35,(0.76%),355
6143,振曜,62,"-3,541",130,(-0.38%),736
3303,岱稜,61,-715,46.15,(2.1%),284
5201,凱衛,61,"1,909",45.15,(1.23%),349
3290,東浦,60,827,51.2,(0.39%),"1,793"
3537,堡達,60,1,40.5,(5.33%),857
3297,杭特,59,-254,47.7,(0.95%),333
3551,世禾,58,268,175,(0.29%),"1,460"
3694,海華,58,263,71.4,(-0.14%),"1,039"
